resets.sent.a2b,resets.sent.b2a,sack.pkts.sent.b2a,dsack.pkts.sent.b2a,rexmt.data.pkts.a2b,outoforder.pkts.a2b,pushed.data.pkts.a2b,max.segm.size.a2b,min.segm.size.a2b,max.win.adv.b2a,avg.win.adv.b2a,max.owin.a2b,avg.owin.a2b,avg.owin.b2a,wavg.owin.a2b,initial.window.bytes.a2b,data.xmit.time.b2a,idletime.max.a2b,idletime.max.b2a,throughput.b2a,rtt.min.a2b,rtt.max.a2b,rtt.avg.a2b,rtt.stdev.a2b,rtt.from.3whs.a2b,rtt.full.sz.smpls.a2b,rtt.full.sz.min.a2b,rtt.full.sz.max.a2b,rtt.full.sz.avg.a2b,post.loss.acks.a2b,rtt.min.last.a2b,rtt.max.last.a2b,rtt.avg.last.a2b,rtt.sdv.last.a2b,segs.cum.acked.a2b,triple.dupacks.a2b,max.retrans.a2b,min.retr.time.a2b,max.retr.time.a2b,avg.retr.time.a2b,sdv.retr.time.a2b,fin.pkts.sent.a2b,ambiguous.acks.a2b,rtt.samples.b2a,rtt.min.b2a,rtt.stdev.b2a,rtt.full.sz.avg.b2a,triple.dupacks.b2a,max.retr.time.b2a,duplicate.acks.a2b,duplicate.acks.b2a,transfer.datarate
0.0,0.0,2823.0,0.0,65.0,149.0,7921.0,1388.0,295.0,34419584.0,28272737.0,8191981.0,3432133.0,5.0,2834660.0,66711.0,0.0,548.6,547.5,0.0,27.9,825.3,548.9,177.5,99.5,1.0,45.5,99.5,99.4,54.0,0.0,357.1,357.1,1.1,2842.0,7.0,1.0,404.0,534.8,451.68,28.56,0.0,55.0,1.0,0.3,0.0,1.5,0.0,0.0,2761.0,0.0,39488.759
0.0,0.0,16778.0,0.0,1326.0,3313.0,11321.0,1388.0,295.0,41941120.0,30817402.0,7593753.0,2803827.0,5.0,2788750.0,63935.0,0.0,421.3,431.2,0.0,21.0,624.7,262.7,121.6,25.3,1.0,21.2,25.3,25.3,620.0,28.3,497.4,236.4,85.3,17795.0,106.0,2.0,153.2,708.7,455.28,90.9,0.0,1005.0,1.0,0.2,0.0,0.6,0.0,0.0,15199.0,0.0,57404.607
0.0,0.0,23053.0,0.0,1650.0,2637.0,9998.0,1388.0,295.0,40724480.0,27801949.0,12110305.0,4359388.0,5.0,4280353.0,66711.0,0.0,390.6,530.4,0.0,20.7,599.1,353.4,141.7,29.9,1.0,24.7,29.9,29.9,869.0,88.6,590.9,341.2,128.3,23500.0,124.0,3.0,221.4,693.3,442.6,98.26,0.0,890.0,1.0,0.3,0.0,1.0,0.0,0.0,20838.0,0.0,62574.312
0.0,0.0,5919.0,0.0,613.0,1043.0,8913.0,1388.0,295.0,37750016.0,34387824.0,10970373.0,3752668.0,5.0,3316928.0,70875.0,0.0,335.8,349.3,0.0,17.1,541.0,364.4,82.4,25.9,1.0,17.1,25.9,25.9,455.0,247.7,507.3,318.0,53.0,4484.0,21.0,1.0,363.7,786.6,477.74,79.48,0.0,730.0,1.0,0.2,0.0,0.5,0.0,0.0,5313.0,0.0,59210.947
0.0,0.0,0.0,0.0,0.0,57.0,8090.0,1388.0,92.0,23160832.0,19190018.0,5936481.0,3101287.0,5.0,2776484.0,66711.0,0.0,327.8,417.5,0.0,26.7,742.7,587.7,150.9,35.8,1.0,32.8,35.8,35.8,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,0.0,1.3,0.0,0.0,0.0,0.0,35701.046
0.0,0.0,5936.0,0.0,582.0,191.0,16611.0,1388.0,295.0,41017216.0,35406068.0,9034497.0,3278958.0,5.0,3356660.0,63935.0,0.0,396.4,409.3,0.0,20.8,755.7,395.3,102.6,34.3,1.0,20.8,34.3,34.3,477.0,319.3,722.0,584.7,144.2,5839.0,21.0,1.0,407.8,988.0,602.72,57.42,0.0,495.0,1.0,0.2,0.0,0.7,0.0,0.0,5353.0,0.0,55696.177
0.0,0.0,0.0,0.0,0.0,385.0,6125.0,1388.0,295.0,32901248.0,25697770.0,7325869.0,3106837.0,5.0,2895392.0,63935.0,0.0,116.7,165.3,0.0,22.5,290.7,207.4,37.6,28.3,1.0,23.8,28.3,28.3,0.0,0.0,0.0,0.0,0.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.0,0.6,0.0,0.0,0.0,0.0,106753.955
0.0,0.0,0.0,0.0,0.0,232.0,6185.0,1388.0,295.0,41936000.0,40630118.0,7463281.0,3011539.0,5.0,2884193.0,63935.0,0.0,146.9,119.6,0.0,21.0,267.3,164.1,29.2,32.9,1.0,21.0,32.9,32.9,0.0,0.0,0.0,0.0,0.0,603.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3,0.0,0.5,0.0,0.0,0.0,0.0,129009.544
0.0,0.0,265.0,0.0,24.0,239.0,6415.0,1388.0,295.0,40120576.0,32654654.0,6701269.0,3010355.0,5.0,2917302.0,66711.0,0.0,263.3,311.2,0.0,22.4,497.9,257.8,84.1,32.2,1.0,22.4,32.2,32.1,2638.0,0.0,57.7,53.9,7.5,68.0,3.0,1.0,0.0,387.1,153.64,1.3,0.0,110.0,1.0,0.3,0.0,0.4,0.0,0.0,75.0,0.0,81130.682
0.0,0.0,0.0,0.0,0.0,183.0,6149.0,1388.0,295.0,31900928.0,26481478.0,6995525.0,2965798.0,5.0,2894426.0,63935.0,0.0,209.3,189.5,0.0,20.9,370.1,228.6,38.0,33.1,1.0,23.7,33.1,33.1,0.0,0.0,0.0,0.0,0.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.5,0.0,0.0,0.0,0.0,92420.278
